start_time,end_time,sentence,filename
1694.100s,1695.100s,Who is this guy?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
1753.700s,1756.700s,So this was again some What Richie do I Richie this one?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
1846.600s,1855.100s,"Yeah, if you say yes, we'll They said this fight kid can set you off because I'm like, I'm 27 now, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2016.600s,2019.500s,How can you breathe?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2049.700s,2053.800s,What do you want and one shark he fought in Japan?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2062.500s,2063.800s,You know what I mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2083.300s,2085.500s,What do I ever achieve is a knockout this guy?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2089.600s,2091.300s,Do you do my best?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2118.300s,2120.100s,Is that is that everywhere?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2119.800s,2122.400s,Like does that happen in America England?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2218.900s,2222.400s,"Yep, will you like preparing yourself?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2221.700s,2227.900s,Like say I'm not trying to downplay any of the fighters that you fought but did you think?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2267.100s,2269.100s,"Yeah, where the hell did he come from?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2284.100s,2286.700s,"Oh, who will that a fall guy named Wayne Ryan?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2308.500s,2309.800s,You beat him?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2347.700s,2349.600s,"Yeah, really?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2413.900s,2417.300s,So is she definitely had experience on me?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2443s,2445.600s,How did that make you feel at the same time?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2446.500s,2448.700s,"response. He thought I would be like, oh, what the fuck?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2466.400s,2471.600s,"I swear he'll be saying this is what is that gasps you out though, like talking?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2544.800s,2549s,But you know what grounds you might have one or some other time?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2577.800s,2579.200s,How did you switch off?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2611.200s,2615.900s,So obviously you got a fight coming up in December have they decided yet?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2685.300s,2690.100s,So who's your daddy have to fight any of them to replace them or how does it work?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2741.200s,2749.200s,lot. So it seems something is out of the picture Monday and we offered to fight somebody yep still for is he still fighting?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2748.700s,2749.700s,You still fight?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2788.400s,2795.600s,What's happening with him while he's on to better things?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2867.600s,2875.200s,"They know who you are just like me they can but if other Fighters feel the same way, how you going to get for that?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2886s,2893.400s,"So one thing I want to ask you is, how do you reckons get to win out of pull gallon and Barry Hall for the government man?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2914.100s,2916.600s,But have you did I barely follow?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2916.100s,2917.400s,"No, really? I",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2964.700s,2965.600s,You know what I mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2978.200s,2980.800s,Do I sense any bill?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2980.400s,2982.800s,Is it the boxing or for you?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2990.500s,2995.100s,Yeah the parents that he didn't put up against haven't been the best but you know what?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
2996.500s,3001.600s,Is he trying to see what does he find in heavyweight a must have your way maybe having something built data?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3188.600s,3190.200s,So what'd you have for breakfast at work?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3196.500s,3203s,"Yeah, you get those things are coals where has diced up mangos coconut?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3207.200s,3208.800s,So how do you have your coffee?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3208.300s,3211.600s,How would you call it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3211.400s,3211.800s,But?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3247.300s,3249.800s,What do you usually eating lunch?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3384.300s,3388.200s,"What do I what do I eat for like, what's my nutrition plan?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3399.500s,3401.900s,"I'm just like ah, but what do you think?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3401.800s,3403.200s,What do you get when he comes down to it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3406.300s,3407.800s,What would you eat?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3487.300s,3490.900s,So like what do you like to do away from fighting Berg?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3501s,3501.800s,bit. What do you do?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3543.300s,3547.200s,What's The copier the funder the fund?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3607.200s,3611.700s,So would you rather smell like fart for the rest of your life or drink a dime?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3659.600s,3665.600s,What's your what's your beverage your favorite beverage and just discovered Phoebe?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3700.800s,3705.800s,"So yeah, so would you give up alcohol for you or would you go your smartphone for a month?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3710.500s,3714.700s,"Yeah, so if I don't talk to loved ones, yeah, are they?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3729.200s,3731.600s,"Okay, would you rather fight?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3734s,3736s,What was that again?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3757s,3767.300s,"I'll just I think that that questions designed to see if you You will find that one person that big ass, LOL the dark people's eyes dark or would you rather fight a hundred little ones?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3767s,3768.600s,So what did I do?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3782.500s,3784.800s,Would you rather have two long teeth?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3784.400s,3786s,Like I only like a beaver?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3787.700s,3791.400s,"If I get no tip, can I get fake teeth?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3853.200s,3858s,Would you rather drink 2 liters of sweat or 2 liters of piss?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3867.700s,3870.700s,Who's yours yours?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3874.100s,3882.700s,"I'll be like like actual piss not our Gulf is other yeah, what would you do now?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3902.700s,3905.300s,How do you think the game went who you been working for?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3914.500s,3922.800s,"I don't know about that was the normal kind of got jumped off the bandwagon for stole my Oh, what now come on man?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3928.200s,3933.400s,All right is all the way right is all the way did you know like we up to watch the game?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3946.300s,3948s,That was how clear was it?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
3963.100s,3971.600s,"Oh, yeah, like the commentary was saying that it was like a split second and when they played in fast motion and I guess they're all kind of right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4003.200s,4004.500s,And also do you follow then?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4004.200s,4005.800s,What do you still follow the story?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4016.100s,4018s,"Well, what do you think? They",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4017.800s,4020.800s,They need to change to become a better team up with a coach?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4020.200s,4022.900s,Excellent player?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4038.600s,4039.700s,Oh man you want to know?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4039.700s,4044.800s,"The phone and it's cheaper to I just recently canceled my fox down there were like, what are you doing?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4088.500s,4096.700s,What do you proud about being a like most like a being a cookout and then also being someone what are you most proud about?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4143s,4143.600s,Who knows?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4171s,4185.900s,"Because now I've got my last five looking at the crowd and I see people worrying, you know, the necklace is it's good like they're there to support me in this there's support, you know, that the Polynesian culture do you like identify yourself as Islander?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4185.600s,4188.500s,Like the D feel like you're close to your hair?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4236.300s,4238s,"What's up, Mike?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4248.400s,4253.900s,Glock what we speak like yes is that you need to learn like how to be like to fit in you know what I mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4351.100s,4364.200s,"That's a look how young we all look like kids or not us but using other me, so I'm do you still like do anything like that because used to make videos or just kind of just lost touch with it?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4444.800s,4455.700s,"So I'm what's your advice for any upcoming Fighters like amateur Fighters or even anyone wanting to pursue their dreams anyway, so what's your advice for them?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4515.300s,4516.800s,So what do you mean by that?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4572.500s,4576.800s,So where can everyone find you check me out on Facebook?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
4685.600s,4686.600s,You know what I mean?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4AEuMtJ8jmTcItQMKFkQdg.json
15.100s,17.300s,You ready to talk some shit or what?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
29.800s,35.900s,Did I get everybody and welcome to episode number six of the building Empires podcast?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
96.900s,100.200s,Keep it real by the way by music by so what's that song about boys?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
171.900s,173.900s,What about you Chef introduce yourself?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
304.300s,305.500s,So how did you get started my brow?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
305.400s,307.600s,How long you been rapping or singing?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
491.200s,497.300s,How we portray this up?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
767.200s,773.400s,"Yeah, that's that's just basically the rundown of the truck and Juliet are talking crazy, right? I",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
815.500s,829s,"It was yeah kind of Nag them to jump off as I heard it on the store and I was like, oh man, give me a spot to you because I was listening to and I was waiting for you to jump in because I had your name there any like after the war he pulled me, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
843s,852.900s,"Yeah, so, um, what's your what's your future songs coming out?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
922.600s,925.100s,So on what your song of the month?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
924.800s,926.600s,What's the flavor of the month at the moment?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
926.100s,930s,What's your song of the month that you listen to that?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1029.800s,1030.900s,Why now?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1114.100s,1115.200s,What's on the cards?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1171.900s,1183.800s,"Yeah, not only just for us in our area, but definitely for the Selfies and Melbourne to Do you know yeah, everyone is doing it one is King like yeah, everyone knows can I make moves like it?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1208s,1210.100s,How do you like what's going on at the moment?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1221.400s,1222.800s,What do you think about Drew?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1304s,1311.600s,"Can I get yeah, you know, yeah, it happens like but what will the music that that's happening right now?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1315.400s,1320.400s,Now I agree with you a hundred percent like in like a my view like gangster shit or what?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1417.300s,1420.400s,What about you?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1532.100s,1535.600s,Is there something on A-Z Lyrics?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1609.400s,1613.800s,So I'm what do you think that was your app seen all the movement will go from now on like what do you think?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1613.600s,1614.900s,think? It's heading to man?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1614.500s,1618.800s,Look Sinister always in why honest opinion?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1686.400s,1688s,"You know, what?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1698.100s,1699.900s,"This is Australian culture, you know?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1706.200s,1710.600s,It will speak about the reaction video certain would just mention it before do you want to catch?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1781s,1782.200s,Would that question?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1854.500s,1855.300s,So what do you do?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1891.400s,1892.600s,What's his name?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1892.200s,1894.100s,Really an idiot?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1929.400s,1942.900s,"So what we having for breakfast, huh, whatever for breakfast menu never mentioned you have anything for breakfast coffee coffee coffee?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1956s,1966s,If you see my man out and he near a coffee shop getting my mom's able to say what Two Sugars off you feeling the best fish are getting my hazelnut is he gave them the hazelnut one?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1980.300s,1981.900s,"What are you having for lunch, buddy?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
1981.600s,1985.600s,What about KFC Zone?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2049.300s,2051s,I'm what about you Chevy?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2104.300s,2105.700s,What job who's the boss?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2205.200s,2206.900s,"Hey, Michelle, how are you?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2206.700s,2208s,Beautiful?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2276.900s,2285.600s,"Heavy, I like ever so let's a lot in the mood a bit and let's get into some would you rather questions?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2285s,2292.600s,"Oh actually before we get into that beverages, so I'm well you drink it you drink alcohol or your baby?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2341s,2353.400s,"I knew him, you know, I need drinking diarrhea for one thing your fucking nasty people that think about it, right?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2440.700s,2444.300s,Would you rather fight a hundred duck-sized horses or one horse-sized?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2443.800s,2444.700s,Duck?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
2444.300s,2447.300s,What would you rather fight?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_058nTf22elnQgslKIMseIs\4rZ9Ruxn5nj7qosx2gAp6H.json
